#contig	Length	B0H_VFD_S52	B0H_VFN_S44	B0L_VFD_S51	B0L_VFN_S43	B2R2H_VFD_S54	B2R2H_VFN_S46	B2R2L_VFD_S53	B2R2L_VFN_S45	B3R2H_VFD_S55	B3R2H_VFN_S48	B3R2L_VFN_S47	B8R2H_VFD_S57	B8R2H_VFN_S50	B8R2L_VFD_S56	B8R2L_VFN_S49
VIRSorter_Contig_1462-cat_2	20782	0.0205	0.0142	0.0024	0.0022	0.0639	0.0338	0.0138	0.0083	0.0098	0.0061	0.0273	0.0059	0.0032	0.0185	0.0236
VIRSorter_Contig_1384-cat_2	20743	0.0267	0.0149	0.0104	0.0122	0.0703	0.0385	0.0338	0.0184	0.0080	0.0036	0.0142	0.0154	0.0143	0.0290	0.0138
VIRSorter_Contig_1098-cat_2	20733	0.0833	0.0637	0.1656	0.1528	0.0929	0.0672	0.1527	0.1369	0.2775	0.1767	0.0550	0.2369	0.1707	0.2484	0.1470
VIRSorter_Contig_4068-cat_2	20732	0.0117	0.0233	0.0162	0.0283	0.0041	0.0011	0.0196	0.0096	0.0033	0.0276	0.0050	0.0092	0.0011	0.0934	0.0192
VIRSorter_Contig_2498-cat_2	20719	0.0449	0.0315	0.0461	0.0531	0.0879	0.0687	0.0994	0.0696	0.0966	0.0546	0.0389	0.1605	0.1038	0.0929	0.0464
VIRSorter_Contig_2912-cat_2	20655	0.0027	0.0015	0.0049	0.0056	0.0053	0.0031	0.0027	0.0020	0.0069	0.0041	0.0015	0.0065	0.0040	0.0086	0.0049
VIRSorter_Contig_4328-cat_2	20649	0.0042	0.0025	0.0031	0.0055	0.0079	0.0064	0.0073	0.0062	0.0063	0.0083	0.0021	0.0073	0.0163	0.0846	0.0041
VIRSorter_Contig_1766-cat_2	20616	0.0977	0.0322	0.1055	0.1247	0.1118	0.0655	1.0512	0.2136	1.0578	0.2905	0.2696	0.9920	0.2161	0.2763	0.2679
VIRSorter_Contig_3977-cat_2	20589	0.0104	0.0001	0.0000	0.0010	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0835	0.0231
VIRSorter_Contig_3168-cat_2	20586	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0666	0.0171	0.0000	0.0000
VIRSorter_Contig_3108-cat_2	20574	0.0259	0.0112	0.0667	0.0556	0.0193	0.0177	0.0492	0.0244	0.0374	0.0235	0.0202	0.0635	0.0221	0.0382	0.0289
VIRSorter_Contig_413-cat_2	20561	0.0792	0.0048	0.0013	0.0018	0.1105	0.0069	0.0108	0.0148	0.0076	0.0015	0.0001	0.0020	0.0017	0.0010	0.0000
VIRSorter_Contig_1276-cat_2	20535	0.0000	0.0001	0.0002	0.0002	0.0005	0.0001	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000
VIRSorter_Contig_993-cat_2	20534	0.0177	0.0124	0.0404	0.0465	0.0492	0.0196	0.0376	0.0341	0.0779	0.0542	0.0140	0.1118	0.0751	0.0802	0.0533
VIRSorter_Contig_4025-cat_2	20530	0.0038	0.0019	0.0142	0.0154	0.0060	0.0020	0.0293	0.0132	0.0071	0.0065	0.0018	0.0168	0.0185	0.0502	0.0224
VIRSorter_Contig_1901-cat_2	20506	0.0839	0.0392	0.0123	0.0131	0.1464	0.0760	0.0576	0.0314	0.0505	0.0258	0.0148	0.0250	0.0135	0.0203	0.0150
VIRSorter_Contig_3075-cat_2	20485	0.4693	0.2586	0.4470	0.4590	0.3616	0.2429	0.4608	0.3512	0.4511	0.3002	0.1582	0.8249	0.5341	0.5482	0.3258
VIRSorter_Contig_1574-cat_2	20482	0.1479	0.0705	0.0067	0.0065	0.1974	0.0967	0.0896	0.0666	0.0311	0.0155	0.0352	0.0149	0.0110	0.0857	0.0657
VIRSorter_Contig_613-cat_2	20467	0.0158	0.0473	0.0627	0.0397	0.0266	0.0582	0.0417	0.0111	0.0080	0.0015	0.0068	0.0068	0.0196	0.0027	0.0035
VIRSorter_Contig_551-cat_2	20431	0.0160	0.0534	0.0428	0.0394	0.0598	0.0417	0.0434	0.0255	0.0230	0.0052	0.0310	0.0149	0.0298	0.0335	0.0316
VIRSorter_Contig_4180-cat_2	20407	0.0024	0.0002	0.0208	0.0151	0.0457	0.0206	0.0798	0.0307	0.0555	0.0287	0.0151	0.0429	0.0408	0.0892	0.0494
VIRSorter_Contig_3245-cat_2	20393	0.0002	0.0001	0.0047	0.0048	0.0011	0.0001	0.0031	0.0003	0.0564	0.0099	0.0002	0.0692	0.0209	0.0100	0.0116
VIRSorter_Contig_620-cat_2	20391	0.0788	0.0507	0.1023	0.1157	0.0580	0.0383	0.0825	0.0755	0.1195	0.0755	0.0393	0.2127	0.1362	0.1522	0.1011
VIRSorter_Contig_2114-cat_2	20386	0.0314	0.0158	0.0213	0.0218	0.0279	0.0212	0.0547	0.0429	0.0665	0.0361	0.0091	0.0345	0.0288	0.0431	0.0275
VIRSorter_Contig_1011-cat_2	20380	0.0203	0.0111	0.0313	0.0338	0.0469	0.0367	0.0244	0.0190	0.0336	0.0233	0.0173	0.0175	0.0189	0.0486	0.0311
VIRSorter_Contig_101-cat_2	20360	0.0284	0.0081	0.0009	0.0045	0.0006	0.0017	0.0383	0.0024	0.0036	0.0029	0.0003	0.0443	0.0286	0.0016	0.0012
VIRSorter_Contig_173-cat_2	20357	0.0805	0.0374	0.0118	0.0073	0.0198	0.0188	0.0174	0.0148	0.0040	0.0020	0.0081	0.0133	0.0081	0.0157	0.0111
VIRSorter_Contig_3773-cat_2	20352	0.0000	0.0000	0.0028	0.0006	0.0000	0.0000	0.0000	0.0000	0.0021	0.0023	0.0000	0.0456	0.0170	0.0000	0.0001
VIRSorter_Contig_2045-cat_2	20338	0.0371	0.0120	0.0510	0.0270	0.0362	0.0051	0.1220	0.0246	0.0748	0.0510	0.0707	0.1037	0.0315	0.0314	0.0121
VIRSorter_Contig_3486-cat_2	20320	0.0377	0.0259	0.0242	0.0249	0.0291	0.0211	0.0374	0.0375	0.0247	0.0154	0.0169	0.0695	0.0384	0.0344	0.0240
VIRSorter_Contig_4466-cat_2	20272	0.0012	0.0008	0.0024	0.0027	0.0017	0.0024	0.0021	0.0008	0.0041	0.0022	0.0059	0.0081	0.0070	0.1088	0.0812
VIRSorter_Contig_283-cat_2	20268	0.0518	0.0106	0.0050	0.0114	0.0029	0.0032	0.0104	0.0067	0.0088	0.0031	0.0034	0.0090	0.0796	0.0139	0.0312
VIRSorter_Contig_4343-cat_2	20256	0.0397	0.0285	0.0352	0.0405	0.0467	0.0267	0.0498	0.0451	0.0583	0.0313	0.0187	0.0829	0.0547	0.0843	0.0588
VIRSorter_Contig_465-cat_2	20249	0.1041	0.0259	0.0038	0.0182	0.0108	0.0063	0.0720	0.0364	0.0286	0.0075	0.0039	0.0015	0.0007	0.0149	0.0115
VIRSorter_Contig_3797-cat_2	20230	0.0509	0.0349	0.0471	0.0418	0.0469	0.0282	0.0413	0.0288	0.0375	0.0228	0.0240	0.0685	0.0502	0.0550	0.0244
VIRSorter_Contig_2565-cat_2	20222	0.0000	0.0002	0.0062	0.0046	0.0001	0.0001	0.0030	0.0010	0.0827	0.0406	0.0050	0.0103	0.0052	0.0002	0.0002
VIRSorter_Contig_3084-cat_2	20215	0.0009	0.0013	0.0008	0.0007	0.0001	0.0000	0.0009	0.0002	0.0000	0.0000	0.0446	0.0000	0.0000	0.0003	0.0006
VIRSorter_Contig_4114-cat_2	20191	0.0313	0.0209	0.0316	0.0359	0.0437	0.0188	0.0346	0.0331	0.0384	0.0248	0.0147	0.0613	0.0399	0.0872	0.0636
VIRSorter_Contig_145-cat_2	20109	0.0603	0.0165	0.0049	0.0073	0.0243	0.0381	0.0107	0.0082	0.0148	0.0067	0.0116	0.0073	0.0100	0.0114	0.0230
VIRSorter_Contig_3531-cat_2	20099	0.0221	0.0113	0.0740	0.2884	0.0736	0.0601	0.1735	0.2085	0.3991	0.3230	0.0174	0.2267	0.2000	0.0330	0.0171
VIRSorter_Contig_1122-cat_2	20074	0.0030	0.0019	0.0861	0.0813	0.0089	0.0041	0.0293	0.0156	0.0145	0.0039	0.0129	0.0196	0.0172	0.0093	0.0049
VIRSorter_Contig_1890-cat_2	20031	0.0005	0.0021	0.0019	0.0016	0.0008	0.0027	0.0018	0.0003	0.0002	0.0002	0.0003	0.0002	0.0014	0.0000	0.0000
VIRSorter_Contig_1530-cat_2	20010	0.0581	0.0330	0.0117	0.0121	0.0741	0.0443	0.0186	0.0124	0.0083	0.0055	0.0097	0.0054	0.0043	0.0107	0.0046
VIRSorter_Contig_1829-cat_2	19985	0.0001	0.0000	0.0005	0.0005	0.0177	0.0128	0.0011	0.0001	0.0002	0.0001	0.0001	0.0000	0.0000	0.0047	0.0013
VIRSorter_Contig_2953-cat_2	19966	0.0005	0.0000	0.0039	0.0041	0.0108	0.0016	0.0094	0.0039	0.0278	0.0393	0.0819	0.0291	0.0190	0.0176	0.0153
VIRSorter_Contig_3125-cat_2	19931	0.0023	0.0071	0.0031	0.0059	0.0008	0.0004	0.0058	0.0046	0.0066	0.0038	0.0003	0.0614	0.0256	0.0035	0.0022
VIRSorter_Contig_767-cat_2	19930	0.0020	0.0014	0.0313	0.0203	0.0029	0.0038	0.0194	0.0072	0.0207	0.0142	0.0036	0.0329	0.0256	0.0028	0.0023
VIRSorter_Contig_1487-cat_2	19874	0.0175	0.0117	0.0452	0.0203	0.0608	0.0249	0.0471	0.0214	0.0395	0.0380	0.0139	0.0302	0.0212	0.0479	0.0416
VIRSorter_Contig_498-cat_2	19851	0.1076	0.0621	0.0002	0.0009	0.0013	0.0010	0.0000	0.0000	0.0000	0.0001	0.0032	0.0410	0.0273	0.0367	0.0480
VIRSorter_Contig_686-cat_2	19842	0.0755	0.0410	0.0848	0.0919	0.0980	0.0391	0.0411	0.0303	0.0152	0.0230	0.0618	0.0231	0.0149	0.0584	0.0468
VIRSorter_Contig_3347-cat_2	19822	0.0162	0.0085	0.0136	0.0138	0.0074	0.0062	0.0140	0.0139	0.0070	0.0072	0.0055	0.0349	0.0264	0.0098	0.0076
VIRSorter_Contig_4072-cat_2	19822	0.0107	0.0051	0.0029	0.0044	0.0164	0.0095	0.0035	0.0028	0.0254	0.0171	0.0015	0.0229	0.0141	0.0830	0.0464
VIRSorter_Contig_769-cat_2	19820	0.0028	0.0035	0.0171	0.0141	0.0030	0.0008	0.0055	0.0024	0.0171	0.0122	0.0061	0.0052	0.0052	0.0040	0.0028
VIRSorter_Contig_4154-cat_2	19799	0.0452	0.0289	0.0340	0.0509	0.0619	0.0430	0.0619	0.0364	0.0557	0.0299	0.0170	0.0537	0.0360	0.0900	0.0552
VIRSorter_Contig_2485-cat_2	19757	0.0164	0.0202	0.0104	0.0071	0.0512	0.0305	0.0934	0.0755	0.0006	0.0004	0.0095	0.0012	0.0008	0.0035	0.0053
VIRSorter_Contig_3509-cat_2	19755	0.0135	0.0075	0.0214	0.0293	0.0476	0.0223	0.0618	0.0313	0.0895	0.0411	0.0239	0.0817	0.0512	0.0688	0.0431
VIRSorter_Contig_1453-cat_2	19739	0.0016	0.0002	0.0007	0.0009	0.0771	0.0024	0.0031	0.0076	0.0064	0.0042	0.0066	0.0014	0.0016	0.0046	0.0104
VIRSorter_Contig_1419-cat_2	19686	0.0259	0.0013	0.0002	0.0005	0.0455	0.0026	0.0045	0.0065	0.0045	0.0010	0.0000	0.0013	0.0005	0.0000	0.0002
VIRSorter_Contig_4006-cat_2	19684	0.0077	0.0132	0.0026	0.0101	0.0047	0.0037	0.0069	0.0054	0.0071	0.0097	0.0026	0.0180	0.0103	0.0151	0.0067
VIRSorter_Contig_948-cat_2	19665	0.0935	0.0638	0.0674	0.0589	0.0930	0.0698	0.0617	0.0470	0.0431	0.0252	0.0368	0.1213	0.0590	0.0648	0.0421
VIRSorter_Contig_655-cat_2	19657	0.0346	0.0416	0.0711	0.0508	0.0233	0.0172	0.0502	0.0167	0.0180	0.0143	0.0291	0.0210	0.0198	0.0272	0.0250
VIRSorter_Contig_1252-cat_2	19645	0.0378	0.0209	0.0245	0.0274	0.0632	0.0293	0.0145	0.0099	0.0000	0.0003	0.0009	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1078-cat_2	19640	0.0533	0.0377	0.0471	0.0977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0014	0.0014	0.0001	0.0001
VIRSorter_Contig_1731-cat_2	19629	0.0040	0.0010	0.0000	0.0000	0.0092	0.0043	0.0001	0.0001	0.0021	0.0006	0.0016	0.0006	0.0000	0.0011	0.0007
VIRSorter_Contig_2063-cat_2	19628	0.0342	0.0289	0.0252	0.0267	0.0635	0.0554	0.0679	0.0247	0.0077	0.0038	0.0057	0.0130	0.0070	0.0040	0.0029
VIRSorter_Contig_2951-cat_2	19619	0.0257	0.0213	0.0351	0.0357	0.0310	0.0200	0.0379	0.0350	0.0741	0.0412	0.0167	0.0584	0.0436	0.0848	0.0511
VIRSorter_Contig_4347-cat_2	19588	0.0325	0.0246	0.0483	0.0529	0.0361	0.0158	0.0467	0.0297	0.0577	0.0399	0.0304	0.0587	0.0402	0.0593	0.0470
VIRSorter_Contig_4576-cat_2	19551	0.0405	0.0156	0.0280	0.0265	0.0360	0.0185	0.5344	0.2655	0.2641	0.0473	0.0088	0.3429	0.1798	0.0404	0.0586
VIRSorter_Contig_1258-cat_2	19533	0.0433	0.0294	0.0247	0.0435	0.0990	0.0764	0.0285	0.0286	0.0237	0.0221	0.0474	0.0236	0.0230	0.0848	0.0509
VIRSorter_Contig_3436-cat_2	19530	0.0926	0.0584	0.1207	0.1233	0.1559	0.0594	0.1019	0.0967	0.1252	0.1337	0.0929	0.1751	0.0967	0.3394	0.2525
VIRSorter_Contig_1488-cat_2	19517	0.0272	0.0136	0.0168	0.0264	0.1407	0.0647	0.0318	0.0268	0.0219	0.0066	0.0099	0.0129	0.0095	0.0265	0.0254
VIRSorter_Contig_3986-cat_2	19498	0.0043	0.0021	0.0044	0.0027	0.0113	0.0042	0.0035	0.0025	0.0111	0.0130	0.0052	0.0057	0.0021	0.0511	0.0216
VIRSorter_Contig_3186-cat_2	19482	0.2433	0.1030	0.2350	0.2978	0.2034	0.1629	0.3276	0.1707	0.3399	0.1661	0.1150	0.4645	0.2703	0.2841	0.1867
VIRSorter_Contig_3275-cat_2	19465	0.0000	0.0000	0.0001	0.0002	0.0000	0.0000	0.0006	0.0005	0.0199	0.0066	0.0000	0.0508	0.0424	0.0000	0.0000
VIRSorter_Contig_3428-cat_2	19449	0.0596	0.0374	0.0369	0.0333	0.1054	0.0668	0.0604	0.0369	0.0895	0.0528	0.0584	0.1039	0.0667	0.0806	0.0502
VIRSorter_Contig_4311-cat_2	19449	0.0086	0.0001	0.0000	0.0004	0.0025	0.0003	0.0001	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0619	0.0153
VIRSorter_Contig_196-cat_2	19449	0.0665	0.0302	0.0003	0.0013	0.0370	0.0212	0.0021	0.0008	0.0006	0.0004	0.0048	0.0002	0.0004	0.0216	0.0163
VIRSorter_Contig_916-cat_2	19438	0.0416	0.0254	0.0467	0.0685	0.0129	0.0153	0.0671	0.0297	0.0502	0.0233	0.0222	0.0305	0.0173	0.0203	0.0167
VIRSorter_Contig_1448-cat_2	19426	0.0018	0.0009	0.0010	0.0013	0.0064	0.0058	0.0008	0.0007	0.0023	0.0013	0.0005	0.0031	0.0044	0.0009	0.0004
VIRSorter_Contig_640-cat_2	19420	0.1581	0.0934	0.1409	0.1239	0.3307	0.1801	0.2578	0.1717	0.2150	0.1289	0.0922	0.2239	0.1612	0.1037	0.0498
VIRSorter_Contig_1700-cat_2	19419	0.0074	0.0044	0.0030	0.0025	0.0811	0.0724	0.0017	0.0003	0.0003	0.0005	0.0067	0.0037	0.0011	0.0050	0.0062
VIRSorter_Contig_2262-cat_2	19340	0.0066	0.0068	0.0011	0.0006	0.0019	0.0002	0.0118	0.0027	0.0006	0.0005	0.0016	0.0092	0.0029	0.0070	0.0045
VIRSorter_Contig_1548-cat_2	19319	0.0226	0.0231	0.0195	0.0469	0.0789	0.0430	0.0060	0.0035	0.0013	0.0003	0.0099	0.0140	0.0061	0.0113	0.0230
VIRSorter_Contig_4285-cat_2	19259	0.0035	0.0024	0.0036	0.0036	0.0061	0.0038	0.0053	0.0044	0.0127	0.0077	0.0038	0.0271	0.0123	0.0664	0.0395
VIRSorter_Contig_2051-cat_2	19250	0.0043	0.0021	0.0185	0.0156	0.0004	0.0045	0.0496	0.0046	0.0264	0.0038	0.0015	0.0066	0.0038	0.0003	0.0005
VIRSorter_Contig_828-cat_2	19243	0.0602	0.0299	0.0831	0.0744	0.0414	0.0347	0.0820	0.0514	0.0295	0.0381	0.0216	0.0612	0.0394	0.0474	0.0281
VIRSorter_Contig_2916-cat_2	19236	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0005	0.0004	0.0040	0.0020	0.0000	0.0004	0.0003	0.0000	0.0000
VIRSorter_Contig_3566-cat_2	19233	0.0226	0.0142	0.0256	0.0309	0.0371	0.0245	0.0119	0.0058	0.0055	0.0035	0.0133	0.0413	0.0312	0.0102	0.0092
VIRSorter_Contig_1614-cat_2	19214	0.0286	0.0161	0.0447	0.0340	0.0398	0.0257	0.0375	0.0224	0.0517	0.0328	0.0164	0.0322	0.0288	0.0694	0.0402
VIRSorter_Contig_3718-cat_2	19207	0.0156	0.0127	0.0124	0.0156	0.0146	0.0077	0.0163	0.0137	0.0094	0.0060	0.0050	0.0644	0.0534	0.0142	0.0072
VIRSorter_Contig_1594-cat_2	19187	0.0130	0.0051	0.0041	0.0045	0.0131	0.0121	0.0116	0.0056	0.0129	0.0055	0.0038	0.0098	0.0081	0.0141	0.0071
VIRSorter_Contig_4494-cat_2	19184	0.0237	0.0210	0.0304	0.0359	0.0131	0.0094	0.0582	0.0187	0.0486	0.0136	0.0077	0.0325	0.0252	0.0232	0.0187
VIRSorter_Contig_1233-cat_2	19173	0.0446	0.0251	0.0190	0.0239	0.1086	0.0706	0.0291	0.0229	0.0437	0.0386	0.0116	0.0408	0.0232	0.0323	0.0229
VIRSorter_Contig_3118-cat_2	19149	0.0163	0.0092	0.0413	0.0434	0.0323	0.0156	0.0298	0.0242	0.0668	0.0389	0.0169	0.0987	0.0718	0.0380	0.0275
VIRSorter_Contig_1325-cat_2	19138	0.0303	0.0205	0.0034	0.0117	0.0973	0.0679	0.0446	0.0118	0.0532	0.0278	0.0230	0.0386	0.0136	0.0062	0.0072
VIRSorter_Contig_1934-cat_2	19088	0.0324	0.0228	0.0505	0.0529	0.0437	0.0243	0.0742	0.0522	0.0233	0.0139	0.0208	0.0299	0.0258	0.0779	0.0629
VIRSorter_Contig_3326-cat_2	19069	0.0185	0.0057	0.0190	0.0360	0.0093	0.0072	0.0523	0.0350	0.0352	0.0178	0.0074	0.0495	0.0225	0.0208	0.0160
VIRSorter_Contig_3809-cat_2	19047	0.0015	0.0017	0.0352	0.0217	0.0017	0.0000	0.0018	0.0080	0.0256	0.0092	0.0001	0.0093	0.0528	0.0006	0.0003
VIRSorter_Contig_2892-cat_2	18997	0.0000	0.0000	0.0023	0.0005	0.0103	0.0000	0.0038	0.0015	0.0018	0.0568	0.0000	0.0007	0.0006	0.0000	0.0001
VIRSorter_Contig_1255-cat_2	18965	0.0269	0.0149	0.0202	0.0205	0.0565	0.0502	0.0408	0.0341	0.0667	0.0440	0.0334	0.0413	0.0268	0.0441	0.0258
VIRSorter_Contig_946-cat_2	18956	0.0204	0.0086	0.0332	0.0220	0.0213	0.0123	0.0254	0.0147	0.0317	0.0235	0.0131	0.0211	0.0178	0.0450	0.0264
VIRSorter_Contig_4101-cat_2	18944	0.0262	0.0152	0.0000	0.0000	0.0637	0.0239	0.0001	0.0000	0.0000	0.0003	0.0075	0.0000	0.0004	0.0644	0.0481
VIRSorter_Contig_3985-cat_2	18941	0.0417	0.0271	0.0352	0.0426	0.0332	0.0180	0.0577	0.0343	0.0483	0.0219	0.0170	0.0420	0.0325	0.1224	0.0790
VIRSorter_Contig_2068-cat_2	18926	0.0208	0.0090	0.0078	0.0153	0.0105	0.0066	0.0749	0.0560	0.0131	0.0055	0.0037	0.0127	0.0080	0.0752	0.0460
VIRSorter_Contig_1946-cat_2	18903	0.0278	0.0111	0.0049	0.0061	0.0154	0.0119	0.0256	0.0115	0.0170	0.0086	0.0041	0.0264	0.0118	0.0135	0.0110
VIRSorter_Contig_3064-cat_2	18893	0.1560	0.1017	0.0690	0.0540	0.0692	0.0671	0.1239	0.0852	0.1287	0.0695	0.1358	0.1415	0.1035	0.0375	0.0242
VIRSorter_Contig_232-cat_2	18892	0.0554	0.0304	0.0344	0.0265	0.0444	0.0400	0.0309	0.0266	0.0227	0.0147	0.0191	0.0558	0.0327	0.0302	0.0177
VIRSorter_Contig_2246-cat_2	18878	0.0100	0.0077	0.0182	0.0080	0.0056	0.0046	0.1393	0.0168	0.0242	0.0041	0.0035	0.0072	0.0057	0.0101	0.0083
VIRSorter_Contig_1994-cat_2	18831	0.0183	0.0062	0.0153	0.0159	0.0052	0.0034	0.0592	0.0424	0.0092	0.0063	0.0005	0.0050	0.0073	0.0000	0.0000
VIRSorter_Contig_3963-cat_2	18810	0.0048	0.0044	0.0016	0.0014	0.0017	0.0011	0.0015	0.0015	0.0081	0.0049	0.0011	0.0024	0.0030	0.1045	0.0880
VIRSorter_Contig_1215-cat_2	18807	0.0030	0.0020	0.0000	0.0000	0.0273	0.0125	0.0000	0.0000	0.0000	0.0000	0.0031	0.0000	0.0002	0.0045	0.0027
VIRSorter_Contig_4406-cat_2	18797	0.0155	0.0138	0.0115	0.0099	0.0465	0.0300	0.0345	0.0110	0.0232	0.0097	0.0071	0.0149	0.0087	0.0782	0.0264
VIRSorter_Contig_3927-cat_2	18785	0.0455	0.0340	0.0567	0.0689	0.0361	0.0445	0.0329	0.0305	0.0496	0.0399	0.0310	0.0422	0.0549	0.0482	0.0597
VIRSorter_Contig_3364-cat_2	18719	0.0400	0.0167	0.0848	0.0893	0.0291	0.0087	0.0815	0.0875	0.1117	0.1204	0.0194	0.2096	0.0965	0.5061	0.3585
VIRSorter_Contig_4130-cat_2	18715	0.0991	0.0728	0.1070	0.1009	0.1681	0.0998	0.0944	0.1242	0.0501	0.0215	0.0470	0.0681	0.1029	0.1041	0.0234
VIRSorter_Contig_1019-cat_2	18714	0.0000	0.0001	0.0674	0.0830	0.0003	0.0000	0.0189	0.0011	0.0550	0.0189	0.0061	0.0406	0.0063	0.0000	0.0002
VIRSorter_Contig_1194-cat_2	18712	0.0521	0.0192	0.0126	0.0139	0.0634	0.0341	0.0208	0.0192	0.0151	0.0083	0.0129	0.0278	0.0130	0.0276	0.0140
VIRSorter_Contig_2882-cat_2	18705	0.0527	0.0323	0.0646	0.0559	0.1493	0.0982	0.1353	0.1829	0.0884	0.0775	0.0760	0.0852	0.0555	0.2104	0.1238
VIRSorter_Contig_3131-cat_2	18698	0.0001	0.0003	0.0225	0.0116	0.0006	0.0003	0.0027	0.0006	0.0057	0.0026	0.0017	0.0682	0.0723	0.0018	0.0004
VIRSorter_Contig_2444-cat_2	18694	0.0044	0.0006	0.0006	0.0006	0.0044	0.0232	0.0385	0.4008	0.0118	0.0036	0.0045	0.0009	0.0001	0.0002	0.0016
VIRSorter_Contig_124-cat_2	18691	0.0599	0.0408	0.0401	0.0416	0.0652	0.0400	0.0520	0.0467	0.0351	0.0210	0.0308	0.0493	0.0318	0.0469	0.0245
VIRSorter_Contig_3535-cat_2	18666	0.0180	0.0140	0.0390	0.0444	0.0373	0.0186	0.0357	0.0339	0.0689	0.0566	0.0156	0.0992	0.0674	0.0868	0.0492
VIRSorter_Contig_1272-cat_2	18636	0.0030	0.0023	0.0000	0.0000	0.0373	0.0151	0.0000	0.0000	0.0000	0.0000	0.0037	0.0001	0.0000	0.0103	0.0086
VIRSorter_Contig_193-cat_2	18604	0.0134	0.0074	0.0081	0.0112	0.0083	0.0048	0.0151	0.0094	0.0023	0.0016	0.0016	0.0041	0.0032	0.0052	0.0044
VIRSorter_Contig_2361-cat_2	18603	0.1427	0.0908	0.1220	0.1220	0.1124	0.0899	0.1524	0.0919	0.1640	0.0799	0.0606	0.1785	0.1193	0.1877	0.1209
VIRSorter_Contig_1185-cat_2	18603	0.0303	0.0217	0.0000	0.0000	0.0527	0.0274	0.0001	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0001
VIRSorter_Contig_4611-cat_2	18560	0.0112	0.0031	0.0109	0.0091	0.0077	0.0026	0.0101	0.0085	0.0164	0.0199	0.0066	0.0159	0.0084	0.0419	0.0453
VIRSorter_Contig_3932-cat_2	18541	0.0155	0.0106	0.0222	0.0232	0.0055	0.0051	0.0215	0.0159	0.0131	0.0120	0.0060	0.0461	0.0492	0.0108	0.0083
VIRSorter_Contig_1261-cat_2	18523	0.0449	0.0289	0.0340	0.0275	0.0718	0.0534	0.0343	0.0171	0.0181	0.0165	0.0144	0.0314	0.0199	0.0254	0.0149
VIRSorter_Contig_277-cat_2	18513	0.0722	0.0146	0.0069	0.0113	0.0168	0.0109	0.0426	0.0192	0.0642	0.0220	0.0019	0.0048	0.0049	0.0310	0.0291
VIRSorter_Contig_3274-cat_2	18478	0.0113	0.0086	0.0341	0.0252	0.0459	0.0390	0.0554	0.0219	0.0316	0.0244	0.0127	0.0697	0.0601	0.0155	0.0111
VIRSorter_Contig_181-cat_2	18461	0.0540	0.0232	0.0205	0.0308	0.0450	0.0200	0.0340	0.0618	0.0429	0.0298	0.0217	0.0496	0.0224	0.0344	0.0180
VIRSorter_Contig_363-cat_2	18431	0.0918	0.0564	0.0290	0.0236	0.0661	0.0447	0.0411	0.0291	0.0417	0.0231	0.0212	0.0369	0.0278	0.0480	0.0295
VIRSorter_Contig_148-cat_2	18419	0.0633	0.0256	0.0067	0.0084	0.0060	0.0043	0.0147	0.0084	0.0061	0.0024	0.0030	0.0046	0.0036	0.0087	0.0048
VIRSorter_Contig_4594-cat_2	18400	0.0000	0.0000	0.0014	0.0035	0.0001	0.0005	0.0017	0.0030	0.0568	0.0329	0.0070	0.0086	0.0127	0.0032	0.0887
VIRSorter_Contig_1512-cat_2	18380	0.0711	0.0342	0.0580	0.0524	0.0838	0.0645	0.0621	0.0260	0.0527	0.0356	0.0297	0.0715	0.0408	0.1073	0.0703
VIRSorter_Contig_618-cat_2	18360	0.0032	0.0027	0.0595	0.0677	0.0031	0.0012	0.0115	0.0080	0.0528	0.0169	0.0012	0.0409	0.0095	0.0088	0.0039
VIRSorter_Contig_809-cat_2	18350	0.0347	0.0274	0.0603	0.0594	0.0205	0.0118	0.0317	0.0313	0.0221	0.0190	0.0135	0.0329	0.0275	0.0377	0.0275
VIRSorter_Contig_3059-cat_2	18326	0.0967	0.0789	0.2063	0.2431	0.1433	0.1371	0.0304	0.0229	0.1761	0.1315	0.0978	0.0411	0.0281	0.2565	0.3164
VIRSorter_Contig_3715-cat_2	18277	0.0223	0.0113	0.0149	0.0176	0.0307	0.0247	0.0263	0.0177	0.0404	0.0260	0.0156	0.0504	0.0374	0.0399	0.0202
VIRSorter_Contig_4432-cat_2	18276	0.1009	0.0229	0.0972	0.0715	0.0329	0.0080	0.0492	0.0161	0.0063	0.0095	0.0136	0.0250	0.0198	0.1114	0.0285
VIRSorter_Contig_1567-cat_2	18264	0.0476	0.0326	0.0272	0.0325	0.1103	0.0701	0.0512	0.0462	0.0239	0.0183	0.0111	0.0260	0.0200	0.0422	0.0286
